grupo,3_agr_e07,4_api_e07,11_bov_e07,5_con_e07,6_ene_e07,7_for_e07,8_ind_e07,9_mil_e07,10_min_e07,12_por_e07,14_turnat_e07,15_tursol_e07,16_urb_e07
1,0.0020534581012840833,0.11179074163001573,0.06948406143408692,0.6545338605109721,0.004904531670530091,0.3410550786833136,0.002018106442454602,0.0020176815394274085,0.0020597466140799734,0.0019768911955263956,0.6792581356535028,0.5470738618978513,0.004104269790015366
2,0.0021319909613805596,0.29875035414956813,0.002653903252312738,0.6762945134784059,0.004442394492006731,0.2699443357542354,0.0020302279269488618,0.0020274213958173417,0.04658767638561006,0.0019610000000001133,0.7378859407056406,0.6917241337503912,0.005816754897022128
3,0.001960999999999767,0.03382472255154616,0.001960999999999767,0.6442187386597928,0.001960999999999767,0.17210533595360375,0.001960999999999767,0.001960999999999767,0.001960999999999767,0.001960999999999767,0.8606726106958726,0.718334338015463,0.005650089432990636
4,0.0038831342218886376,0.021937273793880257,0.001961000000000153,0.6174218050497479,0.004190484794443652,0.04362879678993494,0.006920195701143213,0.002117066641637091,0.001961000000000153,0.007630228552651814,0.701718953538576,0.7014439988736492,0.01576303857705734
5,0.002035125575279219,0.02490383004602223,0.001960999999999797,0.24878047928994018,0.6301955647600309,0.11707614661407534,0.06439796499013598,0.021619099605522548,0.08175044181459382,0.0021247209072975904,0.0019674455950030845,0.054565002136748246,0.998039000000048
6,0.0019609999999998773,0.2876984024327119,0.0019609999999998773,0.26801141459627104,0.563497142080746,0.0019609999999998773,0.0019609999999998773,0.41413245652173697,0.0019609999999998773,0.0019609999999998773,0.0019609999999998773,0.0024126296583848908,0.9980390000000396
7,0.008199475966191905,0.07688416401057979,0.0019610000000005534,0.24047459319955944,0.6083617163687903,0.14274348022451247,0.08232768191494035,0.09102450274211205,0.17018508929606666,0.0019610000000005534,0.007260263113749806,0.5690068699270829,0.9980390000000567
8,0.5569297561529585,0.2300193960573503,0.001960999999999804,0.14349332031063167,0.6319554052568621,0.001960999999999804,0.001960999999999804,0.3571780831541216,0.001960999999999804,0.001960999999999804,0.34030970752687606,0.43665567574671427,0.9980390000000519
9,0.19534719178739482,0.10761093557516795,0.0019610000000007794,0.35324538578145465,0.6897489250695653,0.4207929052575724,0.25014897083371174,0.1719180009594176,0.4131811438645002,0.0021999134606168016,0.09496246123956657,0.06348888841984056,0.9980072075694693
10,0.4790553613690492,0.6559175992012043,0.5051001302267952,0.5396479190903012,0.33075191357434314,0.6223677179912588,0.22564871833274647,0.6170718800798002,0.43162997830678534,0.2851364212377529,0.432573326293896,0.35936025905170155,0.01903251985569724
11,0.6457633924903339,0.4373475506187804,0.7616196236281966,0.34012859357705777,0.523944422661718,0.6272594405989004,0.3035839674279408,0.5120286821016098,0.5731419259199194,0.5423141200700946,0.2697293367797159,0.4089549127871134,0.03000258274577044
12,0.6965648257513024,0.44917273397630486,0.7900038233791761,0.38042937186990794,0.619165546188428,0.6717010366511402,0.4222679435494907,0.595280656031779,0.5916305868654738,0.75491688091639,0.21949055227764558,0.05295813860413069,0.07694327002291645
13,0.5977554403489157,0.8432819451617077,0.535059100536392,0.6442491083843119,0.3348064557718706,0.7826509933899329,0.27480103975108855,0.8420275543834885,0.30623376147762815,0.5513920430294886,0.4085261483037826,0.013116449521834463,0.0079336325510847
14,0.6623827190022443,0.8636770779489248,0.7157433118695452,0.6862560951656422,0.3461100836249274,0.7529912754848381,0.3084188271616716,0.855818983527568,0.5703015930774084,0.637224303389957,0.39187451745582624,0.034211367592637355,0.01382865686536295
15,0.6482437931213528,0.8472097627413759,0.7230096448399301,0.5787332176324047,0.6756101590872616,0.7157958983528536,0.5645446637319693,0.8017137628862545,0.5983959299873028,0.8110687990458509,0.49471151963116305,0.08866257080461093,0.12300512253512479
16,0.668973237326784,0.8679739520488294,0.7622611824792792,0.7071255290863179,0.49958437535412265,0.7556046782597365,0.39473011704114874,0.8443054107551972,0.6845303196042662,0.7535094776287422,0.5067928045416602,0.018030526682548457,0.03143702441083976
